,id,PositiveTail 1,PositiveTail 2,PositiveTail 3,PositiveTail 4,PositiveTail 5,PositiveTail 6,PositiveTail 7
362,25826338-1,5,0,3,0,0,0,0
363,25868676-1,14,6,1,0,0,14,1
364,25892594-1,2,1,1,0,0,0,0
365,25919972-1,11,7,1,2,0,0,0
366,25925269-1,7,1,1,0,0,0,0
367,25989444-1,5,6,0,0,1,0,0
368,26004057-1,0,0,2,0,0,0,0
369,26311775-1,1,2,1,0,0,0,0
370,26351995-1,1,1,0,0,0,0,0
371,26459096-1,13,6,3,1,0,0,0
372,26511235-1,2,0,1,0,0,0,0
373,26539162-1,2,0,1,0,0,0,0
374,26559474-1,2,2,0,0,0,0,0
375,26673112-1,2,4,0,0,0,0,0
376,26683080-1,0,6,1,1,0,0,0
377,26683385-1,5,14,0,0,1,1,0
378,26691735-1,1,11,0,1,1,2,0
379,26807336-1,18,10,3,1,0,2,1
380,26831102-1,0,9,0,0,4,0,3
381,26888619-1,5,4,1,0,0,0,0
382,26892860-1,1,2,0,0,0,0,0
383,26900967-1,2,2,1,0,1,0,0
384,27054401-1,6,7,1,3,2,1,0
385,27091676-1,12,7,2,1,1,0,0
386,27143433-1,2,2,0,0,0,0,0
387,27155127-1,4,6,2,1,1,0,1
388,27158567-1,3,0,0,0,0,0,0
389,27171178-1,9,1,2,0,0,0,0
390,27208693-1,3,2,0,0,0,0,0
391,27291335-1,23,18,1,1,0,1,0
392,27311641-1,1,3,1,0,0,0,0
393,27338616-1,3,2,0,0,0,0,0
394,27343687-1,7,1,2,2,0,0,1
395,27373768-1,6,9,1,1,0,0,1
396,27378884-1,20,4,0,3,1,1,0
397,27461077-1,3,4,0,1,0,0,0
398,27474869-1,0,0,0,0,0,0,0
399,27592810-1,6,1,1,1,0,0,0
400,27601666-1,9,4,4,3,0,0,0
401,27665526-1,10,3,15,1,1,1,0
402,27688934-1,0,11,0,0,2,1,0
403,27697593-1,9,5,1,2,1,1,0
404,27745847-1,7,4,0,4,0,3,0
405,27856312-1,0,0,0,0,0,0,1
406,27897678-1,15,19,9,3,5,0,5
407,27923474-1,18,15,1,1,1,0,0
408,28073651-1,14,14,4,3,0,1,0
409,28093279-1,18,0,2,9,1,0,0
410,28105009-1,31,13,7,0,0,1,1
411,28159685-1,5,2,2,1,0,0,0
412,28161030-1,8,6,1,4,0,0,0
413,28179554-1,39,24,3,6,2,0,1
414,28202612-1,2,0,0,0,0,0,0
415,28245989-1,23,16,3,2,1,3,2
416,28256199-1,4,0,0,0,0,1,0
417,28318498-1,0,0,2,0,0,0,0
418,28352220-1,7,3,0,0,3,0,0
419,28499558-1,5,4,0,0,1,0,0
420,28544942-1,7,2,0,0,0,0,0
421,28559378-1,7,9,5,1,0,0,3
422,28611613-1,0,3,0,0,0,0,0
423,28625660-1,6,3,1,1,0,0,0
424,28633886-1,19,22,1,3,2,0,2
425,28697998-1,1,1,0,0,0,0,0
426,28733247-1,3,0,0,0,0,0,0
427,28803854-1,0,0,0,0,0,1,0
428,28886406-1,1,2,0,0,1,0,1
429,29040763-1,2,1,3,2,0,0,0
430,29161358-1,6,8,1,0,1,0,0
431,29217684-1,8,8,2,4,1,3,1
432,29391248-1,6,5,0,1,1,0,0
433,29654876-1,4,5,1,2,0,0,0
